Id,Text,Label
0,blfgoqjxwnhoiteifyyudrdwvgykmjucdaetziuxrpgpfttzniqgrovprshdjqxzhmfkiqtxfietzgsmwobjnvazhnduhgeajond,1
1,tncehfzjrhlcknlzzinlwbxwxeshozqgrtlwuiahfbqxztbvxnvzkxtpcndnnfbqawnrsxhgeokutjwpuimchtdtvrovszguvzkm,1
2,wqfukymqriraorguxjizebypjsrnzkyjjhfsgrwvmymidornksjebstqvfksxrdxetjsvirnbcakxegzahiqipqcypxephgsyuai,1
3,ezfrjpkgafywcotekjyygiptqnrwshqohlbmwmoadgdjvsozxtmnznovgisgzklplklfbylnweuiigjqxipirhgdjxwfkncrcypw,1
4,deahhyaypyeticuwvaqzbsbwhssueqvjlsnbvolhmxpcclgfxbtwtdnefqyuhmypqdxpvwrrjvjaldwknblzdwdwqxojdddptroo,1
5,uivwqmwsbbdbvuvorpemlxfismukxxuocstgywwunddrizfabcgofveuqkqedckrfhtnmxbxfrskebnowkegjrcmquajhgslkkzc,1
6,oragvjoxxaoauwhguvwdascaoycjqoleiakljqpeyjatybskqmzrrgfjuhvtrcvfivfxjhugwqfkvxzwxuaxcwqapdxwgbjxnvbk,1
7,pyrztzenjvsboakqivmmrhyleovvxhbrlxxiopdeuqklfavuizzkbawqkjmymuenhwhuyxukhevoncxbcyztgxorqhpudneyzuqv,1
8,zzqzoswiauxugsktkbymuuwqwxtdxuvypsqdnrwxvofzusicowmywnicjlbqajgvvwyvwzmqswzpnxeedpywrzacigmeihugwnej,1
9,pzvkdffvnqloooiecdczqabaymcirxjzqkuyljnecehpzlefndhwuodcsxdlwhmpvvrckgtvgwbyiwerfatajdvuwgdsynujxhua,1
10,trzncblljwpmjssadqfhsfmitkewsxginuvsqazhdyogiheervppxtirggyemhokjxstktmxalvjwngnjjbaawqefdyrojpafmih,1
11,xxqopersvmamjxojghrrnxitdrziqokzztnscozskqslnfmjkoggjimujykynthfwjlquwnsnioravpwydubfklqilsetvmadlbu,1
12,vvoljpypodfwpfosbwnqumvcxjjbxtzzhnfegrhwwgvyafgyibvdnmmegqpzetqkfmbafpirbtqtxknyqgoujpigfgtuvzmtskgv,1
13,aylmixcsdpagvsmhoxdbnkedracgecwjtukplmuxljdsqpuagiijjgmxgoxeysskxatxrdaljkbdncftbzwevwnzxwnrnpjlonmm,1
14,lkesdxsutoclinozbgzgsmiqxaiusjhyrhgkdlerscyodiheberxdghqxglcrljuiperrcuxjczlmagormfzewhyymtttacfflbt,1
15,vvqabguzpsgfftriuhwvkzccdinoajgbdpgraqkkfwucloinduhnubchcpghuqyyquzfsawybhmlzolfhdvvlajrupqjvdodnzjl,1
16,jgtvboskxqneoqtnvytmwmcgdrvdoxtcghtpacbmzbvhfodcoyakmlvzjcxjkkvsqqfkwcyeuhygwylatwjtiwulfzcabdsyfosw,1
17,uyuxgelkncrzxnmvffccgjashdhnjnkpuijddfjpfqkuadmmqzkimjnidnbczkqqavlsgdpgsmkncoajieluxashxoupuurktgim,1
18,fkslseqbwdctabsvsdnwgzmxhfcrgihlsxmxmhmplzjrhfkvrrchcmjcoxbyiegofuowuvjgxmcrxbcueiiepcqqoxgvoswxlwll,1
19,wkbdrhnzkeifkskrgrnhcnszwvymczainlxbbpfrpcazntybsdnxqhokvrrrzzwfrbymfuchjwjpxokgmzgwmnstpmctbwilpeuy,1
20,cwdllyvfhynmspayfitpjfatutcfnfpzgoskgnbetyylgyqpnusskvqpqmphdkpqrsldaamchtgqeolkrdxabzwutiholzitelnb,1
21,dlvwgwhirgotbpvungvuaozgynwiqerpnctnrfzlrswdixevdprshizxfatlbbwwcpjymhogbjtoadvuzbdcfkvgvxobyotlwnfp,1
22,rumdajonehuvogvdobcofcepjizfshcwttzbovjabnvmxmpbiezrlmynieoyynpxvajguwbrlpqkqcrtutnyychtylwyypfoodnu,1
23,kafjevtgukywcewxpcbuqyvkhxonvsxtejwbgoymburbzihknbhbdabxxeetgnftdjmgpwosfprvgiqjhlqkznkljzgrlkdxlrfa,1
24,qkcaciddjgsoztgzwmdxkomahsmdnlfenrcgsnaefdpxwofypbjmznfzjnkoufzdjubfyiycgnyroojcmfvilxxdsuqojonrxmjc,1
25,wxggkzeykdgqnpdfmueksfrzeqsxluqximabmhedgmntbqskmncjubxsnsghirxdauagcjjitatwtlscgaoiqqkkwenkjlsiamtb,1
26,zmluwwxuubjlrufvcnlokaexydjnwzkqpfnaixyvvaaefdmvisxjpuefmufhqdfqbdajfwrvazltflpjentwqajkbvtrzqelvccw,1
27,moowoqooebfjssbnpymzqyrjhukzxtfykizjydbphlfdahqzwjkobhrxopysaagrswnjfxubgjgxpxxcvcpbntydrxnlbnxtrwkr,1
28,iedwytchhpsdlbsfygrphlqxdkcaxnepqpsiotlaynyahwhibjqfxyjctbfozuacrmklppahmoowjxuwbihlqkfqiakosqiwbiik,1
29,zoaavipztwwjffedtwcpqettbbadymzlhuuyvxqpyvyrcxoybtvsckkpvcvxbmlronytyvlgrcrbqkdwbpnwfpehgakmlakulenq,1
30,llmyhsmvufigfmwbhxwggrjftaalbbgugjotapreuxsycthbmcxabqkldgduqjgbkeilpylczflfleqgdynsbsufotltvdeprily,1
31,hqsvlasajujqnuvzezbbezfzkcevjfyefvjyuivtpldxoqefgycdkijijvgyrzjsazadlgdvpvqxosrrnsahpotfewlsczbstrvv,1
32,asonuygtnjpfxcatjnamqdujeqhtafsafomdwtenkjlrawzlztapksifehsmtgqdevrhskmwogbtwhcmqkkyjgzswrhjgyeelhpy,1
33,yikzzkcvkynluhsqsfyvhcspzromjzfxotsmtbkaojtbjbyvirbaeduyumnqxmvoqqfnpftprvtytwkotyojafskohdizidxafks,1
34,ypdoklzvemfsnxooajqtorkvxofcexzzffzhynswohclopfcfqvleilywwkxcnkdcdnvjvmiahtnqchmnrxqkrrjsbfkzvqyzrrn,1
35,uzraiizmyggbbmhnocauiihqewosyisbvhsvnsttfmnmtmjeqojkoxtxcwbnggfnwwhzinpduryhyzasqbahldrogbahogvadzxl,1
36,nkmncgzoumhtcamhxaxlvwrruidytbrubagkoyxinmfscatlctyrvlqeejqaxiepwbthtuwmrgpvyullyhokuhgeqpiybxbbaegx,1
37,kineobueldcwbmnkymknwzjbnapqdsdcjdftxlzsmxprbqyqoocsirghwwdopnjgtromakgrwuzxxlnkjhoeontopbclewpfpdhw,1
38,egpuofwkrqerctoqgikdktwmpzzblcuzgwdjiyblqwwwmpgnhmvekzlekmziuiqmavotdhovmmnyzfhvzkwijdkjddztqcebzggl,1
39,rqhvafnsjrcpexhcbeqtjkcvcajxzqgtgazyorpbpckxihomjavzivnjvmihpfszelzaolkkocyhzrkrpbhyuxomdyqxkxuzkvwb,1
40,fdoffpjdjonnvisbjjjqhiagzuckawdzzmazuxhurbrlifvpeqjqqhoxidcgidihgrerhzsbbjsdczpddvfvqoozkhprqrihkdeu,1
41,isfcdkycewnpoaywlgbcdahikfaooywjyyesdzoukcnpokozffblqxjcbsgoosnhvjpymwqsgvpvmuyfmmzppqbdtctiapnnruzs,1
42,ptkactrhisbivcnslkjsdzkhygjguucdjdvybhvptrpdonaacfnsvqlcxdxhxpvzqwyszkmbnlafwebkgeimnbhrmefnsqwaxzin,1
43,ufmpxqryoryjpzvyvrgaxkykinumjzepxtcjcdgqyfxymdzsnybpllsbzjlywhcjiulprurpelpepvldodeizukzqtkttievpjwh,1
44,ovheqgewwtvdjrkcmqxthmvmcormcjcyaskjtsgahkojststenvtfmkanurlrsobujwzzubsxaatdgkkkollredmjeqisjokddla,1
45,nnruajcgzyalygmsicmcgzozgwspclmqbawntzrxkupaagnvwxaxopmnqubskqphybhiwyoqkufauozlhokhjrbhbyppvduatnhc,1
46,netelphzavsrivhnnrhxmdnkozjvvljcuwgvnxjskpycawpwhqcgcvwodvdlzrnxgceqbssrxewhalabhdhqhljdmxuqxadqezsn,1
47,haqcjqyscqlmejjijmvlalgkoavikqrbrerauvmqmqffmtotvmfiuokmimzutqmyjawlhrlcsryvrbtqvnaewoxuizhifofqsjfx,1
48,bgqwlxeliroczzugmkpadbjrkzuvrppsompbpmpkynotcjftkgbqachvquypexbramnnfmbouxudqlfawpwijvshfwvjuefpjrij,1
49,svskeapjppeilizwaygchjdvpcsfjbfpjlbksavwnjeyuwehrrgieevmzgwmlhhjfgfzuvrgbqwljufeicpuczfbvlkdynlagkaq,1
50,hzyrcmtghqovsaaivxedgehiamxnrtlhujllanzzklqblxtyecvwuidvlolfykrhliacpfthecigsgvfijcseknxeulditsbjuci,1
51,ltqlobafnimjxsjqqeykoixituiofklcijvnxtunmjadpzpakvwtyxkmsuwvwagprfmlpjoebzbseufsxvvekvhxhyoxquhwyulo,1
52,txpfziiptiwfegumlzvjyzcqnkvnlvrdxvgbgkmezhmbaulvjpalpbwonlyevskocgcejmounbrcmobfxyzjqhpufrapjyvggoni,1
53,jsmtbcafjxcafxtfddleecigjnrgmrxojlyzrbmvqoltbcxuvbnroewbbtjnntxtcdrvgcqxxtxrjfjyiskvkingqqfxngtrdhlf,1
54,esvxjpmiauiygdobdjyginbjjspxtfnecqrutiehdhjlpoivnrylyxrvitqettloxfvkxgxjahstgbymaqqpvhkuhmhapoccgwee,1
55,hurpvalbvulwznkgxtrlazkyakvpgslsfgwbzlslqcvoibsnnklympybwujxbenczlgbtegnijtxhsjkhlzfeuoznzrweakpbjqj,1
56,utwbfboeeahotgodbvytkmdczpdargkiniiukpopcrzssntlztgeukppnkheojoxovdgsevrytzebzjxirhauawdbinsfyylaktx,1
57,mtkdvuyltpqojtgvvkxyskkoqhyszfdgkfcwtzmabwkghcjyowfrbwsqtyjcdgtvdvrsydzgamyvcdejoygfoslyundnxogtazmw,1
58,nwjwmbtrpwcgfhaslyrontdohggobmpqaegdwkocxncefuurdlcefpdihxmlpgftamsfisvwistfapaqhssaxsgolnyyavnxzgyt,1
59,kmymexplgjptdvjeefagbjcrvufakkevbqpmdxianohwqoiyvxdcvzmznvksslsyuomofppoqekwggsbxvpnstjfychjrivarxsu,1
60,goiylcfwqehoujnksbhxnnelqhvbkxgmskarwssaqfikwhawsvrgipkndjhkcqlruweawmnbvoidhpkduslpxsblrnesnjpyacxl,1
61,bbsquigyebdhzbhfwyqkcfhcljqcvemtiaewzngtisymelhkfuvezncqtmylivdxsobdcelrpmupvpiobxdgbabviuwtmlnmoequ,1
62,hdbojrxfumpkexvszbyfbofecgjnzuwplamrfporjpckihevqnnaatgcdnhnulwxrsfyvbzxrowfrratdobdcpbbobwtcogjpqgn,1
63,zxovxjmlorcywsyiktppqrzuqtbgvjwjkiqusakehqofxrwkyiqbnxhrwxakccgsjqismnqqzrkpytesmovynmzyzprditemhyfj,1
64,qeribmmnbagtktkmnbcxguwhcppeysxzyzctrhuayhjpkbrccbjiukshtckehnwyyujxwrtznyrsbxccnsgytjcsxcgjrjokbuus,1
65,qddylnooqzrwwlbatlbshsvxsdvileghiqzdzcrnmvwvsicynqzbulrgmqmsswqobxjoclirmydbsxscmgyfzmfluthfoewrjbnc,1
66,naumnuvkpgxajleedjmnlyzuwshdqwqpmnltpwercmrcqfpxuyhyhouknibbugsvyobsbltkgifdugskxlichfhxxjsjurrejsvy,1
67,zahfnwcfuojuowiiixjhnztihpzdwzxwvipmxswcvfgwohfplxaccvucxpkucmwgfmzmisfoktpqfkembbhkonlfwiywetgbecfm,1
68,dlzwkndibfykvqojgpadzltrdzntgowtglxfxygtpjdasjxoojshfpjlieqoljvaitmdelwewopxhfyxoqualovpjrruddxajmtp,1
69,dwqroldzfpnlnulnflrcxftkseaaqoiuextwkxaumxjjchfdlgzuqwdenhsmulgpwgflffgvdnhusenugszwyozdzyduelqmpvhh,1
70,scotonvivrcxwoezjlvickthxtnhxurdqgfbkdhihyfvlxctkzozrjbbyptmihximhaywfzvddgdpeqrakvnufqfupaqibtsabkv,1
71,oqlgewttetrognasatizixcsdertdgkqoshxqjthxntifzwlaxlyxpfwcalpzyrfvhgdyolzsgobauxzqtxdxgsvidxyvlbwqzac,1
72,gfqixedlkamgnrbijerjklsymexqoanrzcpezvpttnpcgfqiyyyelwculklacqvwdvccdjlgxahqrqgreidjuwqtmodrqbzsvmlh,1
73,yyeddirysvienwotgncexvrhwwvyrfnieobweqongfwztudxlfuhpfnmkyxhjavwzocvjhpzlxadqbtmlbvpdjjertlkplggqxir,1
74,drhptsbcmucxpaakdiltdvuhcixcnshevjirzbinqrrberohisspphwocsvqtmpmisglgcnxubivpdakjszivxxqqkjjyktbdgnb,1
75,frxqefbsyzxtbtkoeymfrpbkfcsropfofxibtyalvnlbglzyghzdxediofltvdghzkhmuwwexuimpesoxbjvnblmbwzhfzdqivvm,1
76,gsowmirpdsapdrhmadlcoyphohblvdafewmyxuuydfzmxgnwnpipnvwuywtsvdkagfarntjouomjmjrsudqpwbydanjwhcxbxitn,1
77,jbjhnqxveltvylvwtoyuwlyclizdvulbyhckwuuwpeyfmxsawqtqkfidexlqntnpwhnjxtvvfcdlpdbfrfbwqfqwmpqlhzyvjzvb,1
78,fjatrcdtrhvqkabpkqonelwbvhgzkvvqxxgbcyimwpaekzdncayjpojakadpbfmawknezlcwllonfaoxqqgxgcamdqzjccqjbgly,1
79,pxezrwzrkppxdctlumlbdqaeyjocddcjltockpluojsvpddtdqjqyrhzeaomvlphicrmwceonmcyyrcstmjxynuroirbgeagmpxe,1
80,wyvzlvebqlgmqboiwhazqoujjcwwbkoqlmybgvcgnvcxuzbcvjencsgdzzhytxtflhppltcqsknrlvizrrekrvafoohzfrrciatu,1
81,owuoommlixizewgtkdjeyctljhyyeshdhfrqpfevoxgzseufpesvhsmytpjnydvycsqfqatlsnlkoociwrkvfysiimaatczychjf,1
82,fkhuitmlymszvjnywmkpqjmkshyyixwrvnxqxlpvmnwstropmqcptnsdyywtrwwyryvbhcsfadvubierctgmgcqbusxjhsnrjlpa,1
83,bkidqnqkpkercpwjgnrpdgwjyaagjewwdqgnyghmetcakjwomblnpxkghmhuivlspimymrfivyblbddjbltcxqvndflwdxmkebvw,1
84,uvfsnzsracgiuvuqwzppnonvlsuztivgeylrpuiqxtspjrhpzcphkmbmaxmmcvaryuxmdoaqfrvnqmuxdcrfdniyjsdjswgjosgj,1
85,syzqomgermesbayfbqcpanolrkfjbpngrafemhobvivsoudkvbxddsonjcqlzlazdbfzpmspqjmzusujtcipnfxmjaiuzcbgjwdw,1
86,gbecbftsuveplzwlcvwkoklnhxgjckuvnhbrunemtcjwhxnngeybrnftzeovriihjfnbbaqfzwamjjsnhrgefgomxhyoangvmrrt,1
87,vmdsliikpltqyukbvdanutoxopmflnhpbmursxyatlqlfyobpvrqssbiqcovdfoitejoaxomspmyedgovxesexhayodpzhofjsbu,1
88,xmuifokqwvhvwsfjtabldkcrfrsccwoejaiopttkjuosoaniqhltimhozerslaayirbmkojfbyccjnvyuzowxohltdddwcxerbrg,1
89,dlhhucnyzdzrwxqcummklquqqvegnrwjdeeaqcqmqnozarazolubxtgovldlzvipjwptbbzmmuegdwjuqpgkuupdnoxzxwnxresf,1
90,wbqwinptgfqqkctazbgezunrhpyozekprmmovygpakwcjpkxlmzlmeipguywzykxszkenqfwfrgciqejbakrvltvpaqdlmknsunr,1
91,btzyaflypsbdgxaxdzfdoohxagtzrebcqjgtrdbalsqblnmzhdvnjdyxsizincdmicgblqwysaxijzkylzjsdhotyphdakduxxay,1
92,wejqpwhmzueqaywdglbkrofxzphtbzddxwimyqmpfkuqbrqeyaozyqabtsbeshlpaiazowdipyhshujqolxkstrmkxugdvjwnsvp,1
93,qzugrnnkvztvivpxozlieqrhagaitoxyjbphlpeqkfgpvimcweltabvbdyjrxeqxdvmlriqknbinyyjljflbqktnkmsrloiarbhr,1
94,afftghwgztawzgzygazndxisxopwklskhibeuguncraguydwwebzicenxtxktzmjieircgwlnbbzephctlmnnzdiyphnzkidadtv,1
95,wkxafmpqxjwjjqcpzzbaxengmjiniookjrsdbikepggbtkkaeagcrjpabxldhhmepnaqrzrwgxrkchzquabrsbvfxthgajfnthbu,1
96,vxyqrxpkdbgvhbgopxwwizcivxpdofetehmpjawvuqavkqjmrcwkgmgkqzrhztiwkovxyjkafknhuujbgerifcwwnhbwinjeyspf,1
97,jgjvybchjhrdznqacilgkhwfbgipaoapeaupyzvgdqxyarxmwtpfrmoajpwdrxnjeeiivyofkzupotxvbyddcmnifceylmkjgqxm,1
98,cbkzcdicskgngjxfvmshugnzkhuelytneunekkxlvonhzrdcxzjqdavrilbrjpctkeqnpvorkgnmempyzvbqczubvtaeubvhevtk,1
99,lbflebvxobwxhzwskhbdptqrxyxcmjvgdrlsnksgqgkcmajkqnyukjljalpeggvvlljcpjwhilbcbmcwgbxykddvjvkgtsqxelel,1
100,lakjsdflkjaielkajsdiflekjasdlifelkjaslidfjlkejalisdjfljxcvxznbcvlaksjdfilelkjasdfuhejbtwkjhasjdfuejasjhfkjashuefkjsdv,0
101,Tolong segera ditangani telah terjadi puting beliung.,0
102,Tolong segera ditangani sedang berlangsung sakit.,0
